0.009999999776 2.257823508e-05 1 0  0.003006651765 -0.07525828481 0.01109484583 -0.4151377082  1.000066996 -0.9247299433
0.01011578925 2.361268889e-05 1 0  0.003150696866 -0.08522559702 0.01136178523 -0.413826853  1.000069976 -0.9147620201
0.01023293007 2.470037725e-05 1 0  0.003303263569 -0.09472543746 0.01163689326 -0.4125182927  1.000072956 -0.9052615166
0.01035142038 2.584388494e-05 1 0  0.003464544192 -0.1037718207 0.01192042325 -0.4112122059  1.000077009 -0.8962145448
0.01047128905 2.704599319e-05 1 0  0.00363474153 -0.1123807058 0.0122126732 -0.4099090993  1.000080943 -0.8876049519
0.01059253886 2.830955054e-05 1 0  0.00381406839 -0.1205693483 0.01251393929 -0.4086093307  1.000084996 -0.8794156313
0.01071519032 2.963755105e-05 1 0  0.004002750851 -0.1283555627 0.01282452233 -0.4073132277  1.00008893 -0.8716286421
0.01083927136 3.10331925e-05 1 0  0.00420102803 -0.1357578188 0.01314474177 -0.4060212672  1.000092983 -0.864225626
0.01096478011 3.249971633e-05 1 0  0.004409148823 -0.1427945644 0.01347493473 -0.404733777  1.000097036 -0.857188046
0.01109175012 3.404060408e-05 1 0  0.00462738052 -0.1494841874 0.01381542161 -0.4034509957  1.000102043 -0.8504976034
0.0112201795 3.565946827e-05 1 0  0.004856002051 -0.1558446735 0.0141665712 -0.4021735191  1.000105977 -0.8441361785
0.01135010924 3.736014332e-05 1 0  0.005095308181 -0.1618932933 0.01452873647 -0.4009014666  1.000110984 -0.8380866647
0.01148154028 3.914657282e-05 1 0  0.005345608573 -0.1676470786 0.01490230393 -0.3996354342  1.000115991 -0.8323318958
0.01161448937 4.102291496e-05 1 0  0.005607229657 -0.1731222421 0.01528764982 -0.3983754814  1.00012207 -0.8268557787
0.01174898073 4.299358625e-05 1 0  0.005880513694 -0.1783340722 0.01568517834 -0.3971221447  1.000127077 -0.8216428757
0.01188502088 4.50631087e-05 1 0  0.006165819243 -0.1832973212 0.01609530859 -0.395875603  1.000133038 -0.816678524
0.01202264056 4.7236299e-05 1 0  0.006463520229 -0.1880259514 0.01651847921 -0.3946363628  1.000138998 -0.8119487762
0.01216186024 4.951817755e-05 1 0  0.006774011068 -0.1925331056 0.0169551298 -0.393404603  1.000146031 -0.8074404001
0.01230268925 5.191403034e-05 1 0  0.007097701542 -0.196831286 0.01740570739 -0.392180562  1.000151992 -0.8031409979
0.01244514901 5.442931433e-05 1 0  0.007435017731 -0.2009321302 0.01787071489 -0.3909647465  1.000158906 -0.7990387678
0.01258925069 5.706985758e-05 1 0  0.007786408532 -0.2048467398 0.01835062914 -0.3897573054  1.000165939 -0.7951228023
0.01273503061 5.984163727e-05 1 0  0.008152338676 -0.2085854709 0.0188459605 -0.3885584474  1.000174046 -0.7913827896
0.01288250089 6.275103806e-05 1 0  0.008533291519 -0.2121581137 0.01935724169 -0.3873686194  1.00018096 -0.7878085375
0.01303166989 6.580474292e-05 1 0  0.008929773234 -0.2155738175 0.01988502406 -0.3861880004  1.00019002 -0.784391284
0.0131825693 6.900957669e-05 1 0  0.009342306294 -0.2188411206 0.02042987011 -0.3850168288  1.000198007 -0.7811223865
0.01333520934 7.237289537e-05 1 0  0.009771439247 -0.2219681591 0.02099236287 -0.3838553727  1.000207067 -0.777993679
0.01348962914 7.590228779e-05 1 0  0.01021773554 -0.2249625027 0.02157310583 -0.3827038705  1.000216007 -0.7749974728
0.01364582777 7.960576477e-05 1 0  0.01068178471 -0.2278311849 0.02217273042 -0.3815625012  1.000226021 -0.7721269727
0.01380384061 8.34916209e-05 1 0  0.01116420235 -0.2305809408 0.02279187925 -0.3804315329  1.000236034 -0.7693752646
0.01396368071 8.756866737e-05 1 0  0.01166561712 -0.2332180142 0.02343122847 -0.379311204  1.000246048 -0.7667361498
0.01412537973 9.184604278e-05 1 0  0.0121866893 -0.235748291 0.0240914803 -0.3782017231  1.000257015 -0.7642037272
0.01428894047 9.633337322e-05 1 0  0.0127281053 -0.2381772101 0.0247733295 -0.3771031499  1.000267982 -0.7617726326
0.01445439924 0.0001010405904 1 0  0.01329057105 -0.2405100614 0.0254775472 -0.3760159016  1.000280023 -0.7594374418
0.01462176908 0.0001059783463 1 0  0.01387482509 -0.2427516133 0.02620487101 -0.3749398887  1.000293016 -0.7571934462
0.0147910798 0.000111157613 1 0  0.01448161714 -0.2449065149 0.02695613168 -0.3738755286  1.00030601 -0.7550359964
0.01496236119 0.0001165898721 1 0  0.01511175837 -0.2469792515 0.02773211524 -0.3728228807  1.000319004 -0.7529606819
0.01513560861 0.0001222872816 1 0  0.01576605439 -0.2489736825 0.02853370272 -0.371781975  1.000333071 -0.7509635091
0.01531087048 0.0001282623998 1 0  0.01644533873 -0.2508935928 0.02936176211 -0.3707531393  1.000348091 -0.7490406036
0.01548817009 0.0001345283817 1 0  0.01715053059 -0.2527427673 0.03021720983 -0.3697365224  1.000362992 -0.7471883893
0.01566750929 0.0001410991244 1 0  0.01788250171 -0.2545244992 0.03110097349 -0.3687321842  1.000378966 -0.7454035282
0.01584892906 0.0001479890634 1 0  0.01864221133 -0.2562419474 0.03201404959 -0.3677402437  1.000396013 -0.7436827421
0.01603245176 0.0001552133326 1 0  0.01943063363 -0.2578984797 0.03295743093 -0.3667609096  1.000414014 -0.7420227528
0.01621810161 0.000162787881 1 0  0.02024878934 -0.25949651 0.03393217549 -0.3657942116  1.000432134 -0.740421176
0.01640589908 0.0001707292686 1 0  0.02109771222 -0.2610392272 0.0349393636 -0.3648403585  1.000450969 -0.7388746738
0.01659586839 0.0001790547103 1 0  0.02197849192 -0.2625289261 0.0359800756 -0.3638992906  1.000470996 -0.7373809814
0.01678804122 0.0001877823961 1 0  0.02289225906 -0.2639680505 0.03705551848 -0.3629713058  1.000491977 -0.7359377146
0.01698244177 0.0001969311998 1 0  0.02384017035 -0.2653590739 0.03816686571 -0.362056464  1.000512958 -0.7345423698
0.01717907935 0.000206521232 1 0  0.02482342534 -0.2667041719 0.0393153429 -0.3611548245  1.000535965 -0.7331926823
0.01737800986 0.0002165729093 1 0  0.02584327944 -0.2680054307 0.04050223902 -0.3602664471  1.000560045 -0.7318867445
0.01757924072 0.000227108234 1 0  0.02690101229 -0.2692649066 0.04172889516 -0.3593915403  1.000584126 -0.7306222916
0.01778279059 0.0002381495142 1 0  0.02799795941 -0.2704844177 0.04299663752 -0.3585300446  1.000609994 -0.7293976545
0.01798870973 0.0002497206733 1 0  0.0291355066 -0.2716657817 0.04430692643 -0.3576822877  1.000637054 -0.7282108068
0.01819700748 0.0002618462604 1 0  0.03031508066 -0.272810787 0.04566119611 -0.3568480313  1.000665069 -0.7270601988
0.01840771921 0.0002745522943 1 0  0.03153815493 -0.2739212513 0.04706097394 -0.356027782  1.000695109 -0.7259438038
0.01862086914 0.0002878658706 1 0  0.0328062661 -0.2749985158 0.04850781336 -0.3552213609  1.000726104 -0.7248603106
0.01883649081 0.0003018148418 1 0  0.03412098065 -0.2760442793 0.05000332743 -0.354428947  1.000758052 -0.7238081694
0.01905461028 0.0003164288937 1 0  0.03548395261 -0.2770601213 0.05154921114 -0.3536505997  1.000791073 -0.7227854729
0.01927524991 0.0003317386727 1 0  0.03689685464 -0.2780472934 0.05314718187 -0.352886498  1.000827193 -0.7217912674
0.01949845068 0.0003477762803 1 0  0.03836143762 -0.2790072262 0.05479903892 -0.3521367013  1.000863075 -0.720823884
0.01972423121 0.000364574953 1 0  0.03987953067 -0.2799413204 0.05650661513 -0.3514014184  1.000902295 -0.7198821306
0.01995262131 0.0003821701976 1 0  0.04145297408 -0.2808508575 0.05827181786 -0.3506807089  1.00094223 -0.7189644575
0.02018365823 0.0004005975206 1 0  0.04308371618 -0.2817369401 0.06009664759 -0.3499747813  1.000984192 -0.7180700302
0.02041738108 0.0004198955721 1 0  0.04477375746 -0.2826010585 0.06198312342 -0.3492836952  1.001028299 -0.717197001
0.02065380104 0.0004401032056 1 0  0.04652513564 -0.283444196 0.0639333427 -0.3486075997  1.001073241 -0.7163447142
0.02089295909 0.0004612623306 1 0  0.04834001139 -0.2842676938 0.06594950706 -0.3479468226  1.001121283 -0.7155114412
0.02113489062 0.0004834147985 1 0  0.05022056401 -0.2850725949 0.06803387403 -0.3473014235  1.001171231 -0.7146965265
0.02137961797 0.000506606244 1 0  0.0521690622 -0.2858600616 0.07018871605 -0.3466715813  1.001224518 -0.7138985395
0.02162718959 0.000530881458 1 0  0.05418787524 -0.2866311371 0.07241649181 -0.3460576832  1.0012784 -0.7131164074
0.02187761851 0.0005562900915 1 0  0.0562794134 -0.2873871028 0.07471964508 -0.3454598486  1.001336455 -0.712348938
0.02213094942 0.0005828815047 1 0  0.05844618008 -0.2881288528 0.07710074633 -0.3448782861  1.001396418 -0.711595118
0.02238720842 0.0006107069203 1 0  0.06069075316 -0.2888576388 0.07956239581 -0.3443133533  1.001458406 -0.7108537555
0.02264644206 0.0006398213445 1 0  0.06301578134 -0.2895745337 0.08210736513 -0.3437653482  1.001524568 -0.7101237774
0.02290868014 0.0006702799583 1 0  0.06542402506 -0.2902805209 0.08473844826 -0.3432345986  1.001592517 -0.7094039917
0.02317394689 0.00070214062 1 0  0.06791830063 -0.2909768522 0.08745851368 -0.3427214622  1.001664519 -0.7086933851
0.02344229072 0.000735462876 1 0  0.07050151378 -0.2916644514 0.09027057141 -0.3422263861  1.001738667 -0.7079906464
0.02371373959 0.0007703083684 1 0  0.07317670435 -0.2923446 0.0931776762 -0.3417496681  1.001817822 -0.7072949409
0.02398832887 0.0008067411836 1 0  0.07594691962 -0.2930183113 0.09618299454 -0.3412918448  1.001898766 -0.7066048384
0.02426610142 0.0008448270382 1 0  0.07881534845 -0.293686837 0.0992898196 -0.3408534229  1.001984835 -0.7059192657
0.02454709075 0.0008846328128 1 0  0.08178527653 -0.2943513095 0.1025014445 -0.3404348195  1.002074838 -0.705237031
0.0248313304 0.0009262299282 1 0  0.08486004919 -0.2950128317 0.1058213711 -0.3400367796  1.002167821 -0.7045568824
0.02511885948 0.0009696878842 1 0  0.08804312348 -0.2956728041 0.109253116 -0.3396598399  1.00226593 -0.703877449
